,Palabras,Etiqueta
538,isbn,91
539,david,39
540,history,7
541,central,6
542,asia,57
543,from,7
544,to,52
545,world,52
546,university,39
547,press,39
548,segundo,3
549,jess,39
550,venezuela,57
551,estudiante,79
552,fundador,17
553,unin,57
554,fachado,56
555,responsable,75
556,ir,33
557,pblica,57
558,travs,3
559,movimiento,77
560,maria,39
561,diciembre,11
562,american,52
563,febrero,88
564,campo,72
565,combatir,17
566,terminar,16
567,victoria,79
568,paraguayo,71
569,perder,16
570,alihuat,57
571,tena,16
572,mayor,71
573,sino,95
574,coronel,3
575,fernndez,39
576,boliviano,71
577,iniciar,41
578,regimiento,91
579,abrir,67
580,seis,73
581,pues,64
582,pronto,90
583,terreno,17
584,ganar,16
585,chile,97
586,bueno,71
587,plan,3
588,regimentar,79
589,izquierdo,75
590,pedir,16
591,avanzar,41
592,unidad,83
593,lneas,72
594,enemigo,75
595,comandar,79
596,recorrer,41
597,sentir,17
598,ambos,73
599,herir,75
600,emplear,41
601,fondo,17
602,decidir,16
603,similar,71
604,extremar,17
605,batero,57
606,salar,17
607,cortar,75
608,retirar,41
609,kilmetros,91
610,querer,16
611,cumplir,16
612,rafael,39
613,direccin,57
614,contar,98
615,librar,79
616,morir,67
617,nuevo,71
618,dejar,16
619,historia,3
620,alto,20
621,poblacin,13
622,distrito,53
623,metro,15
624,soler,44
625,nivel,17
626,robert,39
627,texas,57
628,carolina,81
629,est,92
630,pilotar,17
631,ganador,75
632,ttulo,3
633,web,1
634,dedicar,71
635,sector,17
636,mejor,71
637,promediar,77
638,maestro,3
639,mxico,23
640,municipal,20
641,california,39
642,amplio,71
643,experiencia,17
644,poltica,75
645,diferente,0
646,ayuntamiento,72
647,instituto,57
648,vivienda,17
649,primer,6
650,estatal,71
651,medio,75
652,decidi,16
653,mil,73
654,sonora,39
655,usar,41
656,recurso,17
657,felipe,57
658,presidencia,3
659,alberto,39
660,ejemplo,17
661,hecho,17
662,estacionar,17
663,paraguay,49
664,prez,39
665,cabeza,17
666,accionar,17
667,lnea,99
668,defensa,17
669,cubrir,41
670,manera,17
671,resolver,16
672,aguar,56
673,cuartar,71
674,operacin,57
675,total,91
676,extender,16
677,abril,88
678,cuerpo,17
679,altura,17
680,punto,10
681,razn,57
682,tom,57
683,misin,57
684,continuar,16
685,ms,57
686,largo,71
687,fuerte,71
688,seccin,72
689,apoyar,41
690,constituir,16
691,empezar,16
692,pie,79
693,caractersticas,75
694,declarar,16
695,indicar,16
696,capitn,72
697,cincar,73
698,infantera,66
699,pequeas,71
700,an,39
701,logr,67
702,batalln,85
703,unir,21
704,mejorar,71
705,presenciar,17
706,vehculos,17
707,hospital,3
708,hora,88
709,directo,71
710,servicio,19
711,evitar,16
712,completar,67
713,comprender,16
714,construccin,57
715,ruso,71
716,nicols,39
717,construir,98
718,material,17
719,viejo,71
720,introducir,16
721,posicin,39
722,tan,90
723,compaa,57
724,incluir,33
725,coser,17
726,desarrollar,27
727,casi,90
728,anunciar,67
729,pensar,16
730,necesario,71
731,tenan,16
732,manir,17
733,humano,71
734,espaciar,17
735,reemplazar,98
736,sonido,17
737,blanco,20
738,favor,79
739,it,52
740,armada,57
741,hoy,8
742,city,39
743,academia,57
744,clase,77
745,japn,57
746,industriar,17
747,mantener,16
748,ltimos,75
749,destinar,75
750,servir,16
751,convirti,16
752,interior,56
753,destruir,16
754,oriental,6
755,artculos,3
756,area,97
757,die,39
758,richard,39
759,puente,3
760,cruz,39
761,estilar,17
762,denominar,67
763,empez,98
764,pelculas,3
765,estrellar,79
766,escena,17
767,teatro,3
768,records,85
769,concertar,17
770,organizar,67
771,concierto,17
772,pase,17
773,australia,57
774,estrenar,98
775,centro,72
776,cultural,71
777,musical,71
778,letra,17
779,composicin,72
780,programar,77
781,televisin,57
782,problema,17
783,salud,3
784,cuatro,73
785,ala,17
786,ciclista,79
787,deportivo,71
788,tour,39
789,semana,26
790,vuelta,85
791,etapa,88
792,italia,39
793,show,72
794,premiar,79
795,tocar,16
796,conducir,16
797,productor,17
798,artculo,57
799,with,52
800,jugador,56
801,entrenador,79
802,restar,17
803,estadio,17
804,saber,16
805,suponer,16
806,federal,6
807,honor,77
808,referencias,39
809,sustituir,16
810,india,57
811,reconocer,67
812,you,52
813,video,3
814,estudio,17
815,novelar,79
816,publicar,67
817,colombia,85
818,internacional,6
819,colombiano,71
820,fase,79
821,informacin,72
822,asociacin,57
823,santiago,39
824,brasil,57
825,moderno,71
826,talar,0
827,espaoles,6
828,originalmente,90
829,amigo,17
830,santo,72
831,espaa,78
832,espaola,57
833,ste,57
834,miguel,39
835,polica,57
836,pablo,39
837,antonio,76
838,msico,72
839,literatura,3
840,departamento,53
841,madrid,39
842,posteriormente,90
843,oficina,3
844,international,48
845,review,7
846,verano,79
847,n,91
848,sencillo,75
849,man,52
850,pequeo,75
851,samba,23
852,influenciar,17
853,barrio,17
854,duque,62
855,poseer,16
856,sitiar,17
857,gracia,17
858,considerar,98
859,gnero,93
860,condicionar,17
861,recibir,16
862,crtica,57
863,gua,57
864,sedar,17
865,figurar,41
866,martnez,39
867,cabo,22
868,xx,12
869,reino,62
870,unido,62
871,modelar,17
872,categora,3
873,pueblo,3
874,extensin,39
875,templar,17
876,oeste,14
877,casero,56
878,madre,3
879,iglesia,58
880,produccin,3
881,rico,6
882,localidad,17
883,empresa,17
884,privar,71
885,energa,57
886,edificio,56
887,bus,17
888,celebrar,67
889,juego,91
890,radio,39
891,radiar,3
892,principalmente,90
893,valle,57
894,uribe,57
895,alcalde,79
896,comunidad,3
897,forzar,79
898,natural,71
899,cadena,17
900,public,91
901,consejo,57
902,proponer,41
903,dividir,67
904,temer,27
905,educacin,57
906,encargar,41
907,hablar,16
908,propiedad,17
909,autoridad,17
910,gobernador,3
911,carretero,17
912,organizacin,57
913,seor,72
914,numeroso,71
915,tren,17
916,puerto,72
917,museo,31
918,mexicano,71
919,tcnico,6
920,falto,17
921,tcnica,57
922,contratar,41
923,snchez,76
924,diario,79
925,conjuntar,17
926,ferrocarril,17
927,senado,57
928,comn,57
929,condado,99
930,eleccin,39
931,colonia,3
932,sistema,17
933,velocidad,79
934,chico,17
935,finalizar,16
936,xix,12
937,paul,57
938,luz,17
939,chicago,39
940,crear,98
941,ideo,17
942,by,52
943,industrial,71
944,serie,3
945,botnico,71
946,plantar,17
947,especie,12
948,plant,48
949,systematics,48
950,ppp,48
951,index,48
952,names,48
953,catalogue,48
954,life,7
955,encyclopedia,7
956,crdoba,39
957,sevilla,39
958,mlaga,57
959,ave,17
960,emitir,67
961,blanca,57
962,invitar,67
963,pedro,39
964,conde,62
965,millón,88
966,ficha,74
967,britnico,71
968,premio,39
969,estudiar,27
970,rodrguez,76
971,venir,16
972,comediar,17
973,f,85
974,text,89
975,x,91
976,catedral,72
977,imagen,17
978,verde,71
979,ciencia,3
980,jean,39
981,centímetro,88
982,banda,27
983,amrica,57
984,so,39
985,paulo,39
986,euro,79
987,proyectar,17
988,biblioteca,3
989,definir,67
990,sovitica,57
991,arquitectura,3
992,distinto,0
993,martn,39
994,casa,57
995,castilla,57
996,len,57
997,london,57
998,lateral,75
999,portar,17
1000,coleccin,57
1001,producto,17
1002,modo,17
1003,carcter,57
1004,solar,75
1005,palacio,72
1006,canal,91
1007,von,39
1008,fricar,57
1009,formacin,57
1010,conocimiento,17
1011,rural,71
1012,sociedad,3
1013,creacin,57
1014,importancia,17
1015,inters,57
1016,especializar,71
1017,proyecto,17
1018,pilar,3
1019,necesidad,17
1020,estn,71
1021,original,71
1022,cre,72
1023,rojo,71
1024,histrico,71
1025,flor,17
1026,secundario,71
1027,funcionar,41
1028,aire,17
1029,colorir,17
1030,venta,17
1031,capacidad,17
1032,futuro,75
1033,tamao,57
1034,superficie,17
1035,vecino,75
1036,pertenecer,16
1037,longitud,15
1038,marcar,75
1039,sol,72
1040,diferenciar,17
1041,animal,17
1042,parque,3
1043,motivar,17
1044,compartir,16
1045,montaas,57
1046,americano,71
1047,can,57
1048,resto,17
1049,rock,3
1050,perodo,99
1051,cantidad,17
1052,milímetro,32
1053,especialmente,90
1054,tropical,71
1055,conectar,16
1056,corresponder,16
1057,urbano,71
1058,james,39
1059,plano,75
1060,national,39
1061,canad,57
1062,designar,98
1063,ofrecer,16
1064,henry,52
1065,periodo,79
1066,listo,79
1067,orihuela,57
1068,valencia,39
1069,actualidad,17
1070,colegio,39
1071,obispo,3
1072,captulo,3
1073,iv,39
1074,arco,56
1075,civil,6
1076,filosofa,57
1077,efecto,17
1078,xvi,12
1079,xviii,12
1080,obrar,27
1081,valladolid,57
1082,alcanzar,16
1083,acceso,56
1084,pieza,17
1085,famoso,71
1086,limitar,67
1087,plaza,3
1088,administracin,57
1089,estructurar,17
1090,d,91
1091,maderar,56
1092,l,85
1093,alemán,71
1094,callar,17
1095,calle,3
1096,verdadero,71
1097,muro,56
1098,memoria,3
1099,tramar,17
1100,francés,18
1101,religioso,71
1102,castillo,3
1103,relacin,17
1104,desear,41
1105,adquirir,16
1106,puerta,56
1107,doblar,71
1108,pintor,17
1109,alfonso,39
1110,mirar,41
1111,s,89
1112,pintura,17
1113,pistar,79
1114,fanergamas,6
1115,color,17
1116,plata,72
1117,ninguno,0
1118,vertical,71
1119,rosario,57
1120,junta,57
1121,der,39
1122,comuna,18
1123,cantn,53
1124,insee,92
1125,elecciones,88
1126,decorar,71
1127,co,3
1128,cd,85
1129,tv,85
1130,michael,57
1131,nacimiento,79
1132,sta,57
1133,elección,88
1134,citar,67
1135,one,52
1136,realidad,17
1137,dios,57
1138,anonceas,12
1139,nativo,71
1140,diseo,72
1141,especial,71
1142,cierto,0
1143,versin,57
1144,aspecto,17
1145,conformar,67
1146,periodista,17
1147,avin,57
1148,motor,79
1149,metal,3
1150,dr,39
1151,formato,17
1152,marqus,62
1153,italiano,71
1154,vasco,72
1155,smith,39
1156,parroquia,3
1157,eje,56
1158,generalmente,90
1159,avenida,39
1160,volumen,79
1161,medioda,49
1162,tarn,53
1163,espadar,17
1164,exterior,75
1165,buque,17
1166,my,52
1167,integrar,67
1168,independiente,71
1169,concepto,17
1170,chileno,71
1171,hab,39
1172,revolucin,57
1173,lee,39
1174,anlisis,3
1175,lanzamiento,17
1176,vano,56
1177,merindad,3
1178,villa,72
1179,cerro,3
1180,burgos,57
1181,jaguar,85
1182,localizar,67
1183,procesar,17
1184,aeropuerto,3
1185,volar,17
1186,funeral,57
1187,dvd,39
1188,that,52
1189,was,52
1190,allen,39
1191,dato,17
1192,van,57
1193,wagner,85
1194,b,39
1195,capilla,3
1196,sierra,57
1197,ventana,56
1198,murcia,39
1199,mundi,91
1200,saln,57
1201,ue,57
1202,hueco,56
1203,cv,91
1204,romeu,57
1205,guerrillero,75
1206,deller,85
1207,lp,85
1208,harmonia,39
1209,najwa,57
1210,till,91
1211,fontsize,89
1212,wilson,39
1213,polaco,71
1214,eln,57
1215,obama,57
1216,apocinceas,12
1217,xs,89
1218,sillar,75
1219,her,52
1220,mcmahon,52
1221,frmaco,72
