,Palabras,Etiqueta
0,nacer,67
1,dígito,32
2,agostar,88
3,actual,71
4,ser,44
5,futbolista,79
6,jugar,41
7,comer,64
8,delantero,75
9,alemania,39
10,consecuencia,17
11,guerra,99
12,familia,12
13,abandonar,16
14,mano,17
15,comenz,90
16,ftbol,83
17,parir,42
18,jug,85
19,fc,39
20,embargar,77
21,despus,92
22,slo,47
23,diez,73
24,mesar,17
25,san,49
26,luis,76
27,unidos,23
28,all,39
29,equipar,10
30,universidad,62
31,milisegundo,2
32,pas,72
33,nombrar,77
34,ao,85
35,paris,85
36,saint,13
37,francia,39
38,disponer,16
39,minuto,88
40,gol,88
41,temporada,88
42,mayar,88
43,aos,85
44,julio,91
45,club,45
46,alemn,57
47,campaa,6
48,haber,29
49,conseguir,16
50,primero,71
51,campeonato,91
52,debut,79
53,seleccin,57
54,marzo,88
55,titular,71
56,encontrar,94
57,﻿1,71
58,octubre,88
59,tambin,47
60,entonces,61
61,participar,16
62,copa,85
63,mundial,39
64,ingls,74
65,pgina,1
66,endofarticle,74
67,doc,51
68,paz,3
69,per,85
70,actor,77
71,amor,79
72,mara,76
73,esposo,17
74,lpez,39
75,garca,76
76,sobrar,4
77,eduardo,39
78,manuel,76
79,tierra,17
80,fernando,39
81,episodio,79
82,casar,77
83,carlos,76
84,tener,25
85,francs,57
86,profesor,17
87,dar,24
88,general,99
89,teora,3
90,tiempo,10
91,escuela,55
92,superior,71
93,pars,39
94,trmino,72
95,poder,44
96,referirse,16
97,francisco,39
98,cuadrar,75
99,nacido,71
100,destacar,16
101,cuyo,21
102,recordar,16
103,gran,71
104,estudi,57
105,cantar,16
106,piano,17
107,gan,91
108,cantante,17
109,msica,23
110,grabar,16
111,grande,71
112,festival,72
113,roma,39
114,new,87
115,york,87
116,et,85
117,gobierno,39
118,artista,17
119,revistar,17
120,trabajar,41
121,graham,57
122,londres,57
123,nueva,87
124,actualmente,90
125,vivir,98
126,director,27
127,hijo,77
128,ii,39
129,du,39
130,love,52
131,the,7
132,at,89
133,of,7
134,enlaces,85
135,externo,75
136,sitio,1
137,oficial,20
138,espaol,6
139,franco,49
140,provincia,96
141,buenos,28
142,aires,28
143,poltico,35
144,argentino,71
145,varios,0
146,vez,10
147,nacional,74
148,participacin,57
149,grupo,59
150,gobernar,6
151,miembro,77
152,partir,59
153,accin,3
154,repblica,57
155,recibi,39
156,derecho,10
157,fecho,79
158,trabaj,16
159,particular,75
160,joven,75
161,partido,35
162,frente,17
163,mismo,38
164,tras,4
165,derrotar,41
166,secretario,3
167,presidente,55
168,adems,60
169,ciudad,10
170,fundacin,57
171,electo,71
172,comisin,57
173,cmara,57
174,girar,17
175,comandante,3
176,principio,79
177,form,39
178,posterior,71
179,actividad,17
180,polticas,75
181,social,20
182,luchar,41
183,ex,71
184,ministro,3
185,economa,57
186,dirigir,67
187,autor,17
188,siguiente,71
189,libro,17
190,ley,3
191,congreso,39
192,municipio,77
193,trabajo,17
194,investigacin,57
195,cmo,3
196,interpretar,67
197,lado,17
198,valor,17
199,transicin,57
200,militar,46
201,significar,16
202,argentina,28
203,dentro,90
204,entrar,42
205,relacionar,75
206,seguridad,3
207,justicia,72
208,rey,37
209,griego,75
210,antiguar,71
211,pesar,79
212,sangrar,17
213,real,84
214,elegir,98
215,hacia,42
216,juntar,71
217,iii,39
218,muerte,79
219,parecer,44
220,nico,71
221,aunque,64
222,bajar,42
223,control,17
224,cercano,71
225,liga,39
226,enviar,16
227,decir,67
228,ligar,72
229,v,39
230,ejrcito,57
231,poner,41
232,llamar,5
233,territorio,17
234,propio,71
235,ayudar,41
236,deber,38
237,ocupar,16
238,litro,23
239,vida,17
240,frontero,17
241,occidental,6
242,hacer,80
243,mientras,95
244,objetivar,17
245,xito,3
246,atacar,41
247,intentar,41
248,paso,16
249,regresar,41
250,descubrir,16
251,realiz,16
252,cruzar,41
253,volver,41
254,orden,3
255,gonzlez,39
256,enero,88
257,barcelona,39
258,edad,79
259,firmar,41
260,establecer,16
261,momento,19
262,inici,39
263,carrera,17
264,profesional,9
265,calidad,17
266,llegar,98
267,acordar,17
268,particip,39
269,cambiar,41
270,juan,76
271,divisin,66
272,componer,67
273,equipo,17
274,nica,71
275,local,71
276,united,85
277,tradicional,71
278,estadounidense,71
279,conocido,71
280,escultura,91
281,arte,3
282,conocer,67
283,washington,39
284,c,57
285,principal,69
286,imgenes,17
287,seriar,93
288,internet,57
289,situar,71
290,pblico,57
291,estacin,50
292,for,52
293,on,52
294,and,68
295,actriz,79
296,hermano,17
297,menor,71
298,as,85
299,pelcula,79
300,naci,39
301,in,42
302,lbum,19
303,lanzar,98
304,disco,17
305,contener,16
306,cancin,57
307,red,91
308,i,95
309,river,57
310,hotel,3
311,personal,71
312,voz,45
313,guitarra,45
314,john,52
315,bajo,71
316,septiembre,88
317,cercar,90
318,school,52
319,music,52
320,opera,39
321,notable,71
322,compositor,17
323,santa,66
324,fe,66
325,ltima,6
326,canción,17
327,basar,75
328,texto,17
329,william,39
330,tratar,63
331,junio,54
332,popular,71
333,cine,77
334,dcada,88
335,lleg,91
336,centrar,17
337,solo,71
338,mediar,82
339,segunda,39
340,luego,90
341,cada,0
342,padre,77
343,jos,76
344,haba,33
345,junto,71
346,noche,79
347,visitar,41
348,vestir,41
349,rpidamente,57
350,tardar,90
351,alrededor,90
352,do,73
353,muri,91
354,nunca,90
355,determinar,71
356,mundo,17
357,campar,34
358,representar,16
359,siete,73
360,rus,3
361,mar,3
362,costa,3
363,principiar,17
364,aparecer,16
365,siglo,12
366,largar,79
367,ruta,19
368,vender,16
369,pequea,75
370,producir,65
371,final,59
372,irn,57
373,capturar,16
374,bien,90
375,norte,81
376,lograr,16
377,acabar,16
378,cursar,17
379,capital,17
380,vario,0
381,asesinar,98
382,habitante,79
383,finalmente,90
384,sur,70
385,regin,49
386,ltimo,71
387,realizar,36
388,ingresar,82
389,noroeste,3
390,fundar,67
391,poblar,17
392,kilómetro,15
393,ro,49
394,lago,3
395,comenzar,98
396,comercial,71
397,mediante,42
398,comprar,16
399,inferior,71
400,llevar,16
401,incluso,90
402,existir,16
403,pequeos,72
404,ocasionar,17
405,europeo,71
406,historiador,17
407,creer,16
408,perteneciente,71
409,describir,16
410,utilizar,98
411,mostrar,16
412,lugar,59
413,segn,57
414,palabra,17
415,cualquiera,0
416,personar,77
417,noreste,3
418,europa,57
419,resultar,41
420,reinar,3
421,segundar,43
422,igual,71
423,tercero,71
424,fin,17
425,obtener,16
426,pasar,41
427,mitad,17
428,seguir,16
429,negro,71
430,don,62
431,transportar,17
432,llev,16
433,isla,17
434,ancho,15
435,distanciar,17
436,tres,73
437,viajar,41
438,siempre,90
439,cuanto,17
440,podar,16
441,mujer,77
442,nios,3
443,hogar,77
444,alguno,0
445,cristiano,75
446,aquel,0
447,lder,57
448,primera,66
449,tropa,17
450,permitir,16
451,conservar,16
452,religin,57
453,reconocimiento,17
454,formar,17
455,piedra,56
456,matar,16
457,gente,17
458,zona,17
459,ver,33
460,nmero,30
461,fuerza,3
462,marchar,17
463,jefe,3
464,salir,63
465,rodear,67
466,causar,17
467,haban,16
468,cargar,10
469,jvenes,17
470,armar,17
471,george,39
472,sera,16
473,personaje,17
474,mencionar,67
475,tal,17
476,registrar,41
477,fuente,17
478,claro,71
479,origen,17
480,conflicto,17
481,diverso,0
482,papel,77
483,respectar,17
484,romano,71
485,posible,71
486,cerrar,67
487,escribir,67
488,aproximadamente,90
489,si,64
490,anterior,71
491,tomar,16
492,medir,17
493,continuacin,72
494,hombre,40
495,escribi,16
496,quedar,16
497,hoja,17
498,escritor,17
499,independencia,3
500,caminar,17
501,importante,71
502,aumentar,41
503,cultura,3
504,reo,70
505,bosque,17
506,enfrentar,16
507,mayora,17
508,soldar,17
509,tipo,86
510,esperar,16
511,situacin,41
512,entregar,41
513,convertir,16
514,obligar,67
515,noviembre,88
516,qu,72
517,operar,16
518,ubicar,71
519,batallar,17
520,elemento,17
521,hallar,16
522,mandar,17
523,menos,90
524,referenciar,17
525,antiguo,71
526,ahora,90
527,presentar,16
528,hermanar,17
529,buscar,16
530,orar,17
531,ningn,57
532,referir,16
533,ocurrir,67
534,peter,39
535,jorge,39
536,vase,47
537,edicin,39
