,Palabras,Etiqueta
416,personar,0
417,noreste,5
418,europa,8
419,resultar,0
420,reinar,0
421,segundar,9
422,igual,9
423,tercero,9
424,fin,0
425,obtener,7
426,pasar,0
427,mitad,0
428,seguir,7
429,negro,9
430,don,8
431,transportar,0
432,llev,7
433,isla,0
434,ancho,0
435,distanciar,0
436,tres,3
437,viajar,0
438,siempre,7
439,cuanto,0
440,podar,7
441,mujer,0
442,nios,5
443,hogar,0
444,alguno,6
445,cristiano,9
446,aquel,6
447,lder,8
448,primera,8
449,tropa,0
450,permitir,7
451,conservar,7
452,religin,8
453,reconocimiento,0
454,formar,0
455,piedra,0
456,matar,7
457,gente,0
458,zona,0
459,ver,7
460,nmero,5
461,fuerza,0
462,marchar,0
463,jefe,5
464,salir,7
465,rodear,9
466,causar,0
467,haban,7
468,cargar,0
469,jvenes,0
470,armar,0
471,george,8
472,sera,7
473,personaje,0
474,mencionar,9
475,tal,0
476,registrar,0
477,fuente,0
478,claro,9
479,origen,0
480,conflicto,0
481,diverso,6
482,papel,0
483,respectar,0
484,romano,9
485,posible,9
486,cerrar,9
487,escribir,9
488,aproximadamente,3
489,si,1
490,anterior,9
491,tomar,7
492,medir,0
493,continuacin,8
494,hombre,0
495,escribi,7
496,quedar,7
497,hoja,0
498,escritor,0
499,independencia,5
500,caminar,0
501,importante,9
502,aumentar,7
503,cultura,5
504,reo,5
505,bosque,0
506,enfrentar,7
507,mayora,0
508,soldar,0
509,tipo,0
510,esperar,7
511,situacin,7
512,entregar,7
513,convertir,7
514,obligar,9
515,noviembre,3
516,qu,8
517,operar,7
518,ubicar,9
519,batallar,0
520,elemento,0
521,hallar,7
522,mandar,0
523,menos,7
524,referenciar,0
525,antiguo,9
526,ahora,7
527,presentar,7
528,hermanar,0
529,buscar,7
530,orar,0
531,ningn,8
532,referir,7
533,ocurrir,7
534,peter,8
535,jorge,8
536,vase,8
537,edicin,8
538,isbn,3
539,david,8
540,history,4
541,central,9
542,asia,8
543,from,4
544,to,4
545,world,4
546,university,8
547,press,8
548,segundo,5
549,jess,8
550,venezuela,8
551,estudiante,0
552,fundador,0
553,unin,8
554,fachado,0
555,responsable,0
556,ir,7
557,pblica,8
558,travs,0
559,movimiento,0
560,maria,8
561,diciembre,3
562,american,4
563,febrero,3
564,campo,8
565,combatir,0
566,terminar,7
567,victoria,5
568,paraguayo,9
569,perder,7
570,alihuat,8
571,tena,7
572,mayor,9
573,sino,7
574,coronel,5
575,fernndez,8
576,boliviano,9
577,iniciar,7
578,regimiento,5
579,abrir,9
580,seis,3
581,pues,1
582,pronto,7
583,terreno,0
584,ganar,7
585,chile,8
586,bueno,9
587,plan,5
588,regimentar,0
589,izquierdo,9
590,pedir,7
591,avanzar,0
592,unidad,0
593,lneas,8
594,enemigo,0
595,comandar,0
596,recorrer,7
597,sentir,0
598,ambos,3
