,Palabras,Etiqueta
0,nacer,17
1,dígito,9
2,agostar,8
3,actual,17
4,ser,40
5,futbolista,16
6,jugar,42
7,comer,40
8,delantero,5
9,alemania,0
10,consecuencia,16
11,guerra,43
12,familia,16
13,abandonar,25
14,mano,16
15,comenz,38
16,ftbol,43
17,parir,21
18,jug,4
19,fc,0
20,embargar,47
21,despus,0
22,slo,31
23,diez,39
24,mesar,16
25,san,0
26,luis,0
27,unidos,0
28,all,0
29,equipar,7
30,universidad,0
31,milisegundo,10
32,pas,0
33,nombrar,44
34,ao,4
35,paris,4
36,saint,33
37,francia,0
38,disponer,25
39,minuto,8
40,gol,8
41,temporada,8
42,mayar,8
43,aos,6
44,julio,8
45,club,43
46,alemn,0
47,campaa,22
48,haber,40
49,conseguir,25
50,primero,17
51,campeonato,4
52,debut,16
53,seleccin,0
54,marzo,8
55,titular,17
56,encontrar,25
57,﻿1,17
58,octubre,8
59,tambin,43
60,entonces,38
61,participar,25
62,copa,4
63,mundial,0
64,ingls,29
65,pgina,29
66,endofarticle,6
67,doc,15
68,paz,43
69,per,4
70,actor,12
71,amor,16
72,mara,0
73,esposo,16
74,lpez,0
75,garca,0
76,sobrar,21
77,eduardo,0
78,manuel,0
79,tierra,16
80,fernando,0
81,episodio,16
82,casar,16
83,carlos,0
84,tener,25
85,francs,0
86,profesor,16
87,dar,25
88,general,10
89,teora,16
90,tiempo,44
91,escuela,32
92,superior,22
93,pars,0
94,trmino,0
95,poder,40
96,referirse,25
97,francisco,0
98,cuadrar,5
99,nacido,17
100,destacar,27
101,cuyo,40
102,recordar,25
103,gran,17
104,estudi,0
105,cantar,25
106,piano,16
107,gan,4
108,cantante,16
109,msica,0
110,grabar,27
111,grande,17
112,festival,0
113,roma,0
114,new,26
115,york,26
116,et,4
117,gobierno,0
118,artista,16
119,revistar,16
120,trabajar,42
121,graham,0
122,londres,0
123,nueva,26
124,actualmente,38
125,vivir,42
126,director,12
127,hijo,16
128,ii,0
129,du,0
130,love,14
131,the,28
132,at,4
133,of,34
134,enlaces,26
135,externo,5
136,sitio,29
137,oficial,17
138,espaol,22
139,franco,0
140,provincia,43
141,buenos,6
142,aires,6
143,poltico,0
144,argentino,17
145,varios,1
146,vez,16
147,nacional,20
148,participacin,0
149,grupo,32
150,gobernar,0
151,miembro,16
152,partir,44
153,accin,16
154,repblica,0
155,recibi,0
156,derecho,19
157,fecho,16
158,trabaj,25
159,particular,5
160,joven,5
161,partido,0
162,frente,16
163,mismo,1
164,tras,21
165,derrotar,42
166,secretario,43
167,presidente,43
168,adems,0
169,ciudad,16
170,fundacin,0
171,electo,17
172,comisin,0
173,cmara,0
174,girar,16
175,comandante,16
176,principio,16
177,form,0
178,posterior,17
179,actividad,16
180,polticas,5
181,social,22
182,luchar,31
183,ex,17
184,ministro,43
185,economa,0
186,dirigir,13
187,autor,16
188,siguiente,48
189,libro,16
190,ley,43
191,congreso,0
192,municipio,16
193,trabajo,16
194,investigacin,0
195,cmo,43
196,interpretar,27
197,lado,16
198,valor,16
199,transicin,0
200,militar,17
201,significar,25
202,argentina,0
203,dentro,38
204,entrar,21
205,relacionar,5
206,seguridad,43
207,justicia,0
208,rey,43
209,griego,5
210,antiguar,17
211,pesar,16
212,sangrar,16
213,real,46
214,elegir,27
215,hacia,21
216,juntar,17
217,iii,0
218,muerte,16
219,parecer,40
220,nico,17
221,aunque,40
222,bajar,21
223,control,16
224,cercano,17
225,liga,0
226,enviar,27
227,decir,27
228,ligar,0
229,v,0
230,ejrcito,0
231,poner,42
232,llamar,17
233,territorio,45
234,propio,17
235,ayudar,31
236,deber,40
237,ocupar,25
238,litro,29
239,vida,32
240,frontero,16
241,occidental,22
242,hacer,25
243,mientras,40
244,objetivar,16
245,xito,43
246,atacar,31
247,intentar,42
248,paso,25
249,regresar,42
250,descubrir,25
251,realiz,25
252,cruzar,42
253,volver,42
254,orden,16
255,gonzlez,0
256,enero,8
257,barcelona,0
258,edad,16
259,firmar,27
260,establecer,25
261,momento,16
262,inici,0
263,carrera,16
264,profesional,22
265,calidad,16
266,llegar,2
267,acordar,16
268,particip,0
269,cambiar,37
270,juan,0
271,divisin,0
272,componer,27
273,equipo,16
274,nica,17
275,local,17
276,united,4
277,tradicional,17
278,estadounidense,17
279,conocido,17
280,escultura,8
281,arte,16
282,conocer,27
283,washington,0
284,c,0
285,principal,17
286,imgenes,16
287,seriar,36
288,internet,0
289,situar,17
290,pblico,0
291,estacin,0
292,for,14
293,on,14
294,and,14
295,actriz,12
296,hermano,16
297,menor,17
298,as,26
299,pelcula,16
300,naci,0
301,in,21
302,lbum,49
303,lanzar,27
304,disco,16
305,contener,25
306,cancin,0
307,red,4
308,i,14
309,river,0
310,hotel,43
311,personal,22
312,voz,43
313,guitarra,43
314,john,33
315,bajo,17
316,septiembre,8
317,cercar,38
318,school,0
319,music,14
320,opera,0
321,notable,17
322,compositor,16
323,santa,0
324,fe,0
325,ltima,0
326,canción,16
327,basar,31
328,texto,16
329,william,0
330,tratar,25
331,junio,8
332,popular,22
333,cine,16
334,dcada,8
335,lleg,42
336,centrar,16
337,solo,17
338,mediar,16
339,segunda,0
340,luego,38
341,cada,1
342,padre,16
343,jos,0
344,haba,25
345,junto,17
346,noche,16
347,visitar,31
348,vestir,31
349,rpidamente,38
350,tardar,38
351,alrededor,38
352,do,39
353,muri,22
354,nunca,38
355,determinar,17
356,mundo,16
357,campar,16
358,representar,25
359,siete,39
360,rus,43
361,mar,43
362,costa,43
363,principiar,16
364,aparecer,35
365,siglo,19
366,largar,16
367,ruta,43
368,vender,25
369,pequea,5
370,producir,25
371,final,16
372,irn,0
373,capturar,25
374,bien,38
375,norte,43
376,lograr,25
377,acabar,25
378,cursar,16
379,capital,16
380,vario,1
381,asesinar,27
382,habitante,16
383,finalmente,38
384,sur,43
385,regin,0
386,ltimo,17
387,realizar,27
388,ingresar,31
389,noroeste,43
390,fundar,27
391,poblar,11
392,kilómetro,8
393,ro,41
394,lago,43
395,comenzar,42
396,comercial,17
397,mediante,21
398,comprar,25
399,inferior,17
400,llevar,25
401,incluso,38
402,existir,25
403,pequeos,43
404,ocasionar,16
405,europeo,22
406,historiador,16
407,creer,25
408,perteneciente,17
409,describir,25
410,utilizar,27
411,mostrar,25
412,lugar,44
413,segn,24
414,palabra,16
415,cualquiera,1
416,personar,16
417,noreste,43
418,europa,0
419,resultar,31
420,reinar,16
421,segundar,17
422,igual,17
423,tercero,17
424,fin,16
425,obtener,25
426,pasar,42
427,mitad,16
428,seguir,25
429,negro,22
430,don,0
431,transportar,16
432,llev,25
433,isla,16
434,ancho,16
435,distanciar,16
436,tres,39
437,viajar,31
438,siempre,38
439,cuanto,16
440,podar,25
441,mujer,32
442,nios,43
443,hogar,16
444,alguno,1
445,cristiano,22
446,aquel,1
447,lder,0
448,primera,0
449,tropa,16
450,permitir,25
451,conservar,25
452,religin,0
453,reconocimiento,16
454,formar,31
455,piedra,16
456,matar,25
457,gente,16
458,zona,16
459,ver,3
460,nmero,4
461,fuerza,16
462,marchar,16
463,jefe,43
464,salir,42
465,rodear,27
466,causar,16
467,haban,25
468,cargar,16
469,jvenes,16
470,armar,5
471,george,0
472,sera,25
473,personaje,16
474,mencionar,27
475,tal,16
476,registrar,31
477,fuente,16
478,claro,17
479,origen,16
480,conflicto,16
481,diverso,1
482,papel,16
483,respectar,16
484,romano,17
485,posible,17
486,cerrar,27
487,escribir,27
488,aproximadamente,38
489,si,40
490,anterior,17
491,tomar,25
492,medir,16
493,continuacin,0
494,hombre,32
495,escribi,25
496,quedar,25
497,hoja,16
498,escritor,16
499,independencia,43
500,caminar,16
501,importante,17
502,aumentar,42
503,cultura,43
504,reo,43
505,bosque,16
506,enfrentar,25
507,mayora,16
508,soldar,16
509,tipo,16
510,esperar,25
511,situacin,42
512,entregar,42
513,convertir,25
514,obligar,17
515,noviembre,8
516,qu,0
517,operar,25
518,ubicar,17
519,batallar,16
520,elemento,16
521,hallar,25
522,mandar,31
523,menos,38
524,referenciar,16
525,antiguo,17
526,ahora,38
527,presentar,25
528,hermanar,16
529,buscar,25
530,orar,16
531,ningn,0
532,referir,25
533,ocurrir,27
534,peter,0
535,jorge,0
536,vase,0
537,edicin,0
538,isbn,4
539,david,0
540,history,34
541,central,41
542,asia,0
543,from,4
544,to,14
545,world,14
546,university,0
547,press,4
548,segundo,43
549,jess,0
550,venezuela,0
551,estudiante,16
552,fundador,16
553,unin,0
554,fachado,44
555,responsable,5
556,ir,42
557,pblica,0
558,travs,16
559,movimiento,32
560,maria,0
561,diciembre,8
562,american,14
563,febrero,8
564,campo,0
565,combatir,16
566,terminar,25
567,victoria,43
568,paraguayo,17
569,perder,25
570,alihuat,0
571,tena,25
572,mayor,17
573,sino,40
574,coronel,43
575,fernndez,0
576,boliviano,17
577,iniciar,42
578,regimiento,4
579,abrir,27
580,seis,39
581,pues,40
582,pronto,38
583,terreno,16
584,ganar,25
585,chile,0
586,bueno,17
587,plan,43
588,regimentar,16
589,izquierdo,5
590,pedir,25
591,avanzar,31
592,unidad,16
593,lneas,43
594,enemigo,5
595,comandar,16
596,recorrer,42
597,sentir,31
598,ambos,39
599,herir,5
600,emplear,42
601,fondo,16
602,decidir,25
603,similar,17
604,extremar,16
605,batero,0
606,salar,16
607,cortar,5
608,retirar,42
609,kilmetros,4
610,querer,25
611,cumplir,25
612,rafael,0
613,direccin,0
614,contar,25
615,librar,31
616,morir,27
617,nuevo,17
618,dejar,25
619,historia,43
620,alto,22
621,poblacin,33
622,distrito,16
623,metro,8
624,soler,40
625,nivel,16
626,robert,0
627,texas,0
628,carolina,0
629,est,0
630,pilotar,16
631,ganador,5
632,ttulo,43
633,web,29
634,dedicar,17
635,sector,16
636,mejor,17
637,promediar,16
638,maestro,43
639,mxico,0
640,municipal,17
641,california,0
642,amplio,17
643,experiencia,16
644,poltica,5
645,diferente,1
646,ayuntamiento,0
647,instituto,0
648,vivienda,16
649,primer,22
650,estatal,22
651,medio,5
652,decidi,25
653,mil,39
654,sonora,0
655,usar,42
656,recurso,16
657,felipe,0
658,presidencia,43
659,alberto,0
660,ejemplo,16
661,hecho,16
662,estacionar,16
663,paraguay,41
664,prez,0
665,cabeza,16
666,accionar,16
667,lnea,29
668,defensa,16
669,cubrir,31
670,manera,16
671,resolver,27
672,aguar,16
673,cuartar,17
674,operacin,0
675,total,22
676,extender,25
677,abril,8
678,cuerpo,16
679,altura,16
680,punto,16
681,razn,0
682,tom,0
683,misin,0
684,continuar,25
685,ms,0
686,largo,17
687,fuerte,17
688,seccin,43
689,apoyar,31
690,constituir,27
691,empezar,25
692,pie,16
693,caractersticas,5
694,declarar,25
695,indicar,25
696,capitn,0
697,cincar,39
698,infantera,0
699,pequeas,17
700,an,0
701,logr,27
702,batalln,4
703,unir,40
704,mejorar,17
705,presenciar,16
706,vehculos,16
707,hospital,43
708,hora,8
709,directo,17
710,servicio,16
711,evitar,25
712,completar,27
713,comprender,25
714,construccin,0
715,ruso,17
716,nicols,0
717,construir,27
718,material,16
719,viejo,17
720,introducir,25
721,posicin,0
722,tan,38
723,compaa,0
724,incluir,25
725,coser,16
726,desarrollar,31
727,casi,38
728,anunciar,27
729,pensar,25
730,necesario,17
731,tenan,25
732,manir,16
733,humano,17
734,espaciar,16
735,reemplazar,42
736,sonido,16
737,blanco,22
738,favor,16
739,it,14
740,armada,0
741,hoy,38
742,city,0
743,academia,0
744,clase,16
745,japn,0
746,industriar,16
747,mantener,25
748,ltimos,5
749,destinar,5
750,servir,25
751,convirti,25
752,interior,16
753,destruir,25
754,oriental,22
755,artculos,43
756,area,0
757,die,0
758,richard,0
759,puente,43
760,cruz,0
761,estilar,16
762,denominar,27
763,empez,42
764,pelculas,43
765,estrellar,16
766,escena,16
767,teatro,43
768,records,4
769,concertar,16
770,organizar,27
771,concierto,16
772,pase,16
773,australia,0
774,estrenar,27
775,centro,0
776,cultural,22
777,musical,18
778,letra,16
779,composicin,43
780,programar,16
781,televisin,0
782,problema,16
783,salud,43
784,cuatro,39
785,ala,16
786,ciclista,16
787,deportivo,22
788,tour,0
789,semana,8
790,vuelta,4
791,etapa,8
792,italia,0
793,show,14
794,premiar,16
795,tocar,25
796,conducir,25
797,productor,16
798,artculo,0
799,with,14
800,jugador,12
801,entrenador,12
802,restar,16
803,estadio,16
804,saber,25
805,suponer,25
806,federal,22
807,honor,16
808,referencias,0
809,sustituir,25
810,india,0
811,reconocer,27
