,Palabras,Etiqueta
812,you,14
813,video,43
814,estudio,16
815,novelar,16
816,publicar,27
817,colombia,4
818,internacional,22
819,colombiano,17
820,fase,16
821,informacin,29
822,asociacin,0
823,santiago,0
824,brasil,0
825,moderno,17
826,talar,1
827,espaoles,22
828,originalmente,38
829,amigo,16
830,santo,0
831,espaa,0
832,espaola,0
833,ste,0
834,miguel,0
835,polica,0
836,pablo,0
837,antonio,0
838,msico,0
839,literatura,16
840,departamento,43
841,madrid,0
842,posteriormente,38
843,oficina,43
844,international,28
845,review,14
846,verano,16
847,n,8
848,sencillo,5
849,man,14
850,pequeo,5
851,samba,0
852,influenciar,16
853,barrio,16
854,duque,26
855,poseer,25
856,sitiar,16
857,gracia,16
858,considerar,27
859,gnero,49
860,condicionar,16
861,recibir,23
862,crtica,0
863,gua,0
864,sedar,16
865,figurar,31
866,martnez,0
867,cabo,16
868,xx,19
869,reino,0
870,unido,0
871,modelar,16
872,categora,43
873,pueblo,16
874,extensin,0
875,templar,16
876,oeste,41
877,casero,16
878,madre,16
879,iglesia,0
880,produccin,43
881,rico,22
882,localidad,16
883,empresa,16
884,privar,17
885,energa,0
886,edificio,16
887,bus,16
888,celebrar,27
889,juego,8
890,radio,0
891,radiar,16
892,principalmente,38
893,valle,0
894,uribe,0
895,alcalde,16
896,comunidad,43
897,forzar,16
898,natural,17
899,cadena,16
900,public,4
901,consejo,0
902,proponer,42
903,dividir,27
904,temer,16
905,educacin,0
906,encargar,31
907,hablar,25
908,propiedad,16
909,autoridad,16
910,gobernador,43
911,carretero,16
912,organizacin,0
913,seor,0
914,numeroso,17
915,tren,16
916,puerto,0
917,museo,29
918,mexicano,17
919,tcnico,22
920,falto,16
921,tcnica,0
922,contratar,42
923,snchez,0
924,diario,43
925,conjuntar,16
926,ferrocarril,16
927,senado,0
928,comn,0
929,condado,43
930,eleccin,0
931,colonia,43
932,sistema,16
933,velocidad,16
934,chico,16
935,finalizar,25
936,xix,19
937,paul,0
938,luz,16
939,chicago,0
940,crear,27
941,ideo,16
942,by,14
943,industrial,22
944,serie,43
945,botnico,22
946,plantar,44
947,especie,16
948,plant,28
949,systematics,28
950,ppp,28
951,index,28
952,names,28
953,catalogue,34
954,life,34
955,encyclopedia,34
956,crdoba,0
957,sevilla,0
958,mlaga,0
959,ave,16
960,emitir,27
961,blanca,0
962,invitar,27
963,pedro,0
964,conde,26
965,millón,8
966,ficha,29
967,britnico,22
968,premio,0
969,estudiar,31
970,rodrguez,0
971,venir,25
972,comediar,16
973,f,4
974,text,4
975,x,4
976,catedral,43
977,imagen,16
978,verde,22
979,ciencia,16
980,jean,0
981,centímetro,8
982,banda,16
983,amrica,0
984,so,0
985,paulo,0
986,euro,16
987,proyectar,16
988,biblioteca,43
989,definir,27
990,sovitica,0
991,arquitectura,43
992,distinto,1
993,martn,0
994,casa,0
995,castilla,0
996,len,0
997,london,0
998,lateral,5
999,portar,16
1000,coleccin,0
1001,producto,16
1002,modo,16
1003,carcter,0
1004,solar,22
1005,palacio,43
1006,canal,4
1007,von,0
1008,fricar,0
1009,formacin,0
1010,conocimiento,16
1011,rural,17
1012,sociedad,43
1013,creacin,0
1014,importancia,16
1015,inters,0
1016,especializar,17
1017,proyecto,16
1018,pilar,43
1019,necesidad,16
1020,estn,17
1021,original,17
1022,cre,0
1023,rojo,22
1024,histrico,17
1025,flor,16
1026,secundario,17
1027,funcionar,31
1028,aire,16
1029,colorir,16
1030,venta,16
1031,capacidad,16
1032,futuro,5
1033,tamao,0
1034,superficie,16
1035,vecino,5
1036,pertenecer,25
1037,longitud,8
1038,marcar,31
1039,sol,0
1040,diferenciar,16
1041,animal,16
1042,parque,43
1043,motivar,16
1044,compartir,27
1045,montaas,0
1046,americano,17
1047,can,0
1048,resto,16
1049,rock,43
1050,perodo,43
1051,cantidad,16
1052,milímetro,9
1053,especialmente,38
1054,tropical,17
1055,conectar,27
1056,corresponder,25
1057,urbano,17
1058,james,0
1059,plano,5
1060,national,0
1061,canad,0
1062,designar,27
1063,ofrecer,25
1064,henry,14
1065,periodo,16
1066,listo,16
1067,orihuela,0
1068,valencia,0
1069,actualidad,16
1070,colegio,0
1071,obispo,43
1072,captulo,43
1073,iv,0
1074,arco,16
1075,civil,22
1076,filosofa,0
1077,efecto,16
1078,xvi,19
1079,xviii,19
1080,obrar,44
1081,valladolid,0
1082,alcanzar,25
1083,acceso,16
1084,pieza,16
1085,famoso,17
1086,limitar,27
1087,plaza,43
1088,administracin,0
1089,estructurar,16
1090,d,8
1091,maderar,16
1092,l,4
1093,alemán,17
1094,callar,16
1095,calle,43
1096,verdadero,17
1097,muro,16
1098,memoria,43
1099,tramar,16
1100,francés,17
1101,religioso,17
1102,castillo,43
1103,relacin,16
1104,desear,42
1105,adquirir,25
1106,puerta,16
1107,doblar,17
1108,pintor,16
1109,alfonso,0
1110,mirar,42
1111,s,4
1112,pintura,16
1113,pistar,8
1114,fanergamas,22
1115,color,16
1116,plata,0
1117,ninguno,1
1118,vertical,17
1119,rosario,0
1120,junta,0
1121,der,0
1122,comuna,49
1123,cantn,33
1124,insee,0
1125,elecciones,8
1126,decorar,17
1127,co,43
1128,cd,4
1129,tv,4
1130,michael,0
1131,nacimiento,16
1132,sta,0
1133,elección,8
1134,citar,27
1135,one,14
1136,realidad,16
1137,dios,0
1138,anonceas,16
1139,nativo,17
1140,diseo,0
1141,especial,17
1142,cierto,1
1143,versin,0
1144,aspecto,16
1145,conformar,27
1146,periodista,16
1147,avin,0
1148,motor,16
1149,metal,43
1150,dr,0
1151,formato,16
1152,marqus,26
1153,italiano,17
1154,vasco,0
1155,smith,4
1156,parroquia,43
1157,eje,16
1158,generalmente,38
1159,avenida,0
1160,volumen,16
1161,medioda,0
1162,tarn,33
1163,espadar,16
1164,exterior,5
1165,buque,16
1166,my,14
1167,integrar,27
1168,independiente,22
1169,concepto,16
1170,chileno,17
1171,hab,0
1172,revolucin,0
1173,lee,0
1174,anlisis,43
1175,lanzamiento,16
1176,vano,16
1177,merindad,43
1178,villa,43
1179,cerro,43
1180,burgos,0
1181,jaguar,4
1182,localizar,27
1183,procesar,16
1184,aeropuerto,43
1185,volar,16
1186,funeral,0
1187,dvd,0
1188,that,14
1189,was,14
1190,allen,0
1191,dato,16
1192,van,0
1193,wagner,4
1194,b,30
1195,capilla,43
1196,sierra,0
1197,ventana,16
1198,murcia,0
1199,mundi,4
1200,saln,0
1201,ue,0
1202,hueco,16
1203,cv,4
1204,romeu,0
1205,guerrillero,5
1206,deller,4
1207,lp,4
1208,harmonia,0
1209,najwa,0
1210,till,4
1211,fontsize,4
1212,wilson,0
1213,polaco,17
1214,eln,0
1215,obama,0
1216,apocinceas,16
1217,xs,4
1218,sillar,5
1219,her,14
1220,mcmahon,14
1221,frmaco,0
